Mem: 27084K used, 4032K free, 0K shrd, 620K buff, 5116K cached
CPU:  6.2% usr 18.7% sys  0.0% nic 68.7% idle  0.0% io  0.0% irq  6.2% sirq
Load average: 15.34 13.81 12.94 1/159 4995
  PID  PPID USER     STAT   VSZ %MEM CPU %CPU COMMAND
  614     1 root     S     430m1413.6   0 20.8 /system/system/bin/encoder
 4995  4987 root     R     1712  5.5   0 10.4 top -b -n 1
  533     1 root     S    46216148.3   0  0.0 /system/system/bin/wifidaemon
  534     1 root     S     2080  6.6   0  0.0 /system/system/bin/upgrade
    1     0 root     S     1716  5.5   0  0.0 init
  537     1 root     S     1712  5.5   0  0.0 /sbin/getty -L ttyS000 115200 vt10
  531     1 root     S     1708  5.4   0  0.0 telnetd
 4987     1 root     S     1708  5.4   0  0.0 /bin/sh ./collection.sh
  523     1 root     S <    872  2.8   0  0.0 udevd --daemon
  588     2 root     RW       0  0.0   0  0.0 [RtmpMlmeTask]
    6     2 root     SW       0  0.0   0  0.0 [rcu_kthread]
  587     2 root     SW       0  0.0   0  0.0 [RtmpTimerTask]
  528     2 root     SWN      0  0.0   0  0.0 [jffs2_gcd_mtd3]
    4     2 root     SW       0  0.0   0  0.0 [kworker/0:0]
  416     2 root     SW       0  0.0   0  0.0 [mtdblock2]
    5     2 root     SW       0  0.0   0  0.0 [kworker/u:0]
  544     2 root     SW       0  0.0   0  0.0 [hidog]
  144     2 root     SW       0  0.0   0  0.0 [sync_supers]
  162     2 root     SW       0  0.0   0  0.0 [khubd]
 1176     2 root     SW       0  0.0   0  0.0 [flush-mtd-unmap]
    2     0 root     SW       0  0.0   0  0.0 [kthreadd]
  261     2 root     SW       0  0.0   0  0.0 [kswapd0]
  146     2 root     SW       0  0.0   0  0.0 [bdi-default]
    8     2 root     SW       0  0.0   0  0.0 [kworker/u:1]
    7     2 root     SW<      0  0.0   0  0.0 [khelper]
  149     2 root     SW<      0  0.0   0  0.0 [kblockd]
  175     2 root     SW<      0  0.0   0  0.0 [cfg80211]
  147     2 root     SW<      0  0.0   0  0.0 [kintegrityd]
  258     2 root     SW<      0  0.0   0  0.0 [rpciod]
  503     2 root     SW       0  0.0   0  0.0 [mmcqd/0]
  430     2 root     SW       0  0.0   0  0.0 [romblock2]
  176     2 root     SW       0  0.0   0  0.0 [kworker/0:1]
  332     2 root     SW<      0  0.0   0  0.0 [crypto]
  406     2 root     SW       0  0.0   0  0.0 [mtdblock0]
  411     2 root     SW       0  0.0   0  0.0 [mtdblock1]
  324     2 root     SW<      0  0.0   0  0.0 [nfsiod]
  421     2 root     SW       0  0.0   0  0.0 [mtdblock3]
  424     2 root     SW       0  0.0   0  0.0 [romblock0]
  427     2 root     SW       0  0.0   0  0.0 [romblock1]
  589     2 root     SW       0  0.0   0  0.0 [RtmpCmdQTask]
  433     2 root     SW       0  0.0   0  0.0 [romblock3]
  478     2 root     SW<      0  0.0   0  0.0 [kpsmoused]
    3     2 root     SW       0  0.0   0  0.0 [ksoftirqd/0]
  315     2 root     SW       0  0.0   0  0.0 [fsnotify_mark]

Mem: 27296K used, 3820K free, 0K shrd, 620K buff, 5128K cached
CPU: 16.6% usr 38.8% sys  0.0% nic 44.4% idle  0.0% io  0.0% irq  0.0% sirq
Load average: 15.80 13.93 12.98 2/161 5003
  PID  PPID USER     STAT   VSZ %MEM CPU %CPU COMMAND
  614     1 root     S     430m1413.6   0 27.7 /system/system/bin/encoder
 5001  4987 root     R     1712  5.5   0 11.1 top -b -n 1
  533     1 root     S    46216148.3   0  0.0 /system/system/bin/wifidaemon
  534     1 root     S     2080  6.6   0  0.0 /system/system/bin/upgrade
    1     0 root     S     1716  5.5   0  0.0 init
  537     1 root     S     1712  5.5   0  0.0 /sbin/getty -L ttyS000 115200 vt10
  531     1 root     S     1708  5.4   0  0.0 telnetd
 4987     1 root     S     1708  5.4   0  0.0 /bin/sh ./collection.sh
 5003  5002 root     R     1708  5.4   0  0.0 ps
 5002   533 root     S     1704  5.4   0  0.0 sh -c ps > /tmp/gps.txt
  523     1 root     S <    872  2.8   0  0.0 udevd --daemon
  588     2 root     SW       0  0.0   0  0.0 [RtmpMlmeTask]
    6     2 root     SW       0  0.0   0  0.0 [rcu_kthread]
  587     2 root     SW       0  0.0   0  0.0 [RtmpTimerTask]
  528     2 root     SWN      0  0.0   0  0.0 [jffs2_gcd_mtd3]
    4     2 root     SW       0  0.0   0  0.0 [kworker/0:0]
  416     2 root     SW       0  0.0   0  0.0 [mtdblock2]
    5     2 root     SW       0  0.0   0  0.0 [kworker/u:0]
  544     2 root     SW       0  0.0   0  0.0 [hidog]
  144     2 root     SW       0  0.0   0  0.0 [sync_supers]
  162     2 root     SW       0  0.0   0  0.0 [khubd]
 1176     2 root     SW       0  0.0   0  0.0 [flush-mtd-unmap]
  261     2 root     SW       0  0.0   0  0.0 [kswapd0]
    2     0 root     SW       0  0.0   0  0.0 [kthreadd]
  146     2 root     SW       0  0.0   0  0.0 [bdi-default]
    8     2 root     SW       0  0.0   0  0.0 [kworker/u:1]
  149     2 root     SW<      0  0.0   0  0.0 [kblockd]
  175     2 root     SW<      0  0.0   0  0.0 [cfg80211]
  258     2 root     SW<      0  0.0   0  0.0 [rpciod]
  503     2 root     SW       0  0.0   0  0.0 [mmcqd/0]
  430     2 root     SW       0  0.0   0  0.0 [romblock2]
  147     2 root     SW<      0  0.0   0  0.0 [kintegrityd]
    7     2 root     SW<      0  0.0   0  0.0 [khelper]
  406     2 root     SW       0  0.0   0  0.0 [mtdblock0]
  411     2 root     SW       0  0.0   0  0.0 [mtdblock1]
  176     2 root     SW       0  0.0   0  0.0 [kworker/0:1]
  421     2 root     SW       0  0.0   0  0.0 [mtdblock3]
  424     2 root     SW       0  0.0   0  0.0 [romblock0]
  427     2 root     SW       0  0.0   0  0.0 [romblock1]
  589     2 root     SW       0  0.0   0  0.0 [RtmpCmdQTask]
  433     2 root     SW       0  0.0   0  0.0 [romblock3]
  478     2 root     SW<      0  0.0   0  0.0 [kpsmoused]
    3     2 root     SW       0  0.0   0  0.0 [ksoftirqd/0]
  315     2 root     SW       0  0.0   0  0.0 [fsnotify_mark]
  324     2 root     SW<      0  0.0   0  0.0 [nfsiod]
  332     2 root     SW<      0  0.0   0  0.0 [crypto]

Mem: 27100K used, 4016K free, 0K shrd, 620K buff, 5136K cached
CPU:  7.6% usr 15.3% sys  0.0% nic 76.9% idle  0.0% io  0.0% irq  0.0% sirq
Load average: 15.80 13.93 12.98 1/159 5009
  PID  PPID USER     STAT   VSZ %MEM CPU %CPU COMMAND
  614     1 root     S     430m1413.6   0 13.1 /system/system/bin/encoder
 5009  4987 root     R     1712  5.5   0  6.5 top -b -n 1
